Name	Sex	Korean	Math	English
Kim	F	68	55	64
Choi	F	100	41	61
Park	F	74	63	73
Choi	M	69	60	76
Hong	M	77	72	82
Kim	F	70	65	67
Choi	M	85	94	67
Choi	F	78	68	79
Hong	F	87	61	68
Hong	F	87	55	61
Choi	M	76	39	61
Park	F	73	67	70
Kim	M	99	42	72
Hong	M	61	63	66
Choi	F	73	85	68
Hong	F	80	69	87
Kim	F	81	34	75
Choi	F	79	68	74
Hong	M	87	85	65
Hong	F	84	52	64
Hong	F	94	70	77
Choi	M	61	76	75
Choi	F	76	48	84
Choi	F	82	41	55
Kim	F	70	77	71
Park	M	78	68	74
Kim	F	76	66	87
Hong	M	83	51	92
Choi	M	67	25	69
Kim	M	72	52	75
Hong	F	66	83	43
Hong	F	83	63	43
Kim	M	94	86	55
Kim	F	76	67	58
Hong	M	77	44	77
Hong	F	81	67	52
Kim	F	83	28	84
Kim	F	73	52	57
Kim	M	86	56	65
Hong	M	89	63	75
Hong	M	73	50	62
Choi	F	72	64	74
Kim	M	81	57	59
Kim	F	90	46	68
Park	M	81	76	75
Hong	F	58	71	76
Choi	M	77	72	73
Hong	M	100	36	78
Choi	M	83	30	57
Choi	M	77	44	87
Choi	F	77	49	66
Hong	F	87	63	80
Hong	M	63	84	71
Park	F	84	86	72
Park	F	93	59	76
Hong	F	70	49	65
Kim	F	88	77	60
Park	M	84	72	61
Kim	M	64	76	61
Kim	F	60	47	66
Kim	F	90	81	75
Park	F	90	67	60
Kim	F	80	94	86
Hong	M	85	49	66
Park	M	70	66	80
Kim	F	83	42	65
Kim	F	84	91	70
Park	M	100	48	76
Hong	M	87	86	60
Choi	M	93	69	72
Park	M	73	50	67
Hong	M	68	39	67
Choi	M	83	98	75
Hong	M	85	62	68
Choi	F	85	70	77
Choi	F	91	72	82
Choi	M	68	78	76
Kim	M	71	78	61
Park	M	97	82	65
Park	M	94	89	61
Choi	M	77	37	74
Park	F	68	23	66
Choi	M	80	100	59
Park	F	82	83	72
Kim	M	69	39	80
Kim	F	91	68	79
Kim	F	76	26	67
Kim	M	92	50	76
Choi	M	71	53	53
Park	F	89	84	69
Hong	M	89	42	82
Choi	M	93	74	78
Hong	F	86	40	76
Choi	F	75	47	71
Hong	M	97	58	80
Hong	F	59	96	61
Hong	M	81	77	67
Park	M	79	41	71
Hong	M	87	51	79
Kim	F	66	35	71
Kim	F	70	73	70
Hong	M	90	66	80
Choi	F	92	38	80
Choi	F	87	23	67
Kim	F	100	46	69
Choi	M	72	31	64
Park	M	88	51	57
Park	F	79	72	67
Park	M	91	76	70
Kim	M	89	77	83
Park	F	84	54	78
Park	F	74	100	63
Choi	M	83	90	69
Kim	M	90	90	67
Park	M	83	77	54
Hong	M	57	38	57
Kim	F	89	68	55
Choi	M	81	52	53
Choi	M	82	70	82
Kim	M	79	73	89
Hong	F	76	73	64
Kim	M	71	38	83
Park	F	76	46	66
Park	F	76	53	69
Kim	M	82	57	48
Hong	F	79	45	75
Kim	F	77	49	67
Hong	F	83	34	70
Park	M	91	73	43
Park	F	67	68	59
Kim	F	100	37	68
Hong	F	74	49	86
Park	F	77	62	67
Choi	F	85	45	68
Hong	M	86	68	77
Choi	F	76	60	79
Hong	M	86	8	75
Choi	F	85	66	82
Choi	F	79	67	89
Kim	M	96	55	53
Kim	F	88	10	53
Kim	M	73	97	77
Choi	M	89	73	74
Park	F	73	42	89
Choi	F	98	58	76
Park	F	81	71	61
Choi	M	84	89	80
Kim	F	87	57	68
Hong	F	80	42	75
Park	F	77	56	69
Hong	F	71	83	65
Choi	M	84	82	64
Choi	F	74	29	70
Park	F	79	73	85
Choi	F	56	83	68
Hong	F	85	80	55
Choi	M	75	81	69
Hong	F	84	82	68
Hong	M	82	58	76
Choi	F	68	54	66
Hong	F	63	83	65
Choi	M	67	36	67
Choi	M	100	28	91
Park	F	71	50	71
Park	F	82	58	70
Hong	F	88	12	72
Kim	F	89	92	66
Park	M	87	42	74
Hong	M	87	61	55
Kim	M	77	47	71
Kim	F	76	77	75
Park	F	86	76	74
Hong	M	82	71	74
Park	F	65	56	82
Choi	M	63	60	56
Hong	M	99	78	65
Kim	F	79	42	69
Park	M	88	52	69
Kim	M	77	53	76
Hong	M	76	85	81
Choi	F	76	40	73
Kim	M	83	41	76
Kim	M	50	39	71
Choi	F	90	79	71
Hong	F	89	77	77
Park	M	60	42	42
Hong	F	75	69	62
Hong	F	86	44	69
Hong	M	94	70	53
Kim	M	80	58	65
Choi	F	72	68	75
Park	M	70	53	70
Hong	M	74	83	79
Kim	F	85	48	69
Park	M	66	62	55
Hong	F	96	65	60
Hong	M	80	72	55
Hong	F	92	64	65
Park	F	95	49	77
Choi	M	78	53	64
Kim	F	96	45	76
Choi	M	86	63	57
Hong	M	86	13	73
Hong	F	77	58	73
Kim	F	75	79	64
Kim	F	70	80	65
Park	F	79	80	67
Kim	F	66	83	63
Kim	M	98	49	79
Kim	M	85	87	67
Kim	F	75	54	95
Hong	F	80	45	67
Park	F	85	70	83
Hong	M	81	61	81
Kim	M	86	89	63
Kim	F	89	43	63
Kim	M	70	39	77
Hong	F	84	70	60
Park	M	75	67	88
Hong	M	88	46	74
Choi	F	98	100	74
Kim	F	86	54	86
Park	F	82	41	68
Choi	M	78	37	70
Choi	F	76	54	73
Choi	F	74	57	71
Park	M	74	54	73
Choi	M	81	52	67
Kim	M	67	87	65
Hong	M	69	52	63
Hong	F	85	61	79
Park	F	89	75	76
Choi	F	85	98	74
Hong	M	85	25	78
Hong	F	65	85	66
Park	M	85	69	84
Choi	F	88	69	59
Choi	M	73	72	68
Hong	F	59	63	81
Kim	F	87	53	85
Park	F	75	79	53
Park	F	75	53	74
Kim	M	71	56	65
Park	F	55	87	78
Hong	F	68	68	71
Choi	M	75	67	68
Park	M	80	51	75
Kim	F	66	52	67
Kim	F	100	50	65
Choi	M	78	62	80
Choi	M	78	67	68
Choi	F	85	65	73
Kim	F	82	54	65
Kim	M	80	56	76
Kim	F	69	59	64
Park	F	78	71	73
Hong	F	80	74	77
Hong	M	86	65	67
Choi	M	75	53	79
Kim	F	84	61	71
Choi	M	70	68	58
Hong	F	97	100	75
Kim	F	93	42	63
Kim	F	75	49	57
Choi	F	92	67	72
Kim	F	80	70	62
Choi	F	98	46	81
Park	M	75	11	60
Park	M	84	24	62
Choi	M	85	79	56
Kim	M	92	9	60
Hong	M	61	70	72
Park	M	87	63	74
Hong	F	68	84	71
Hong	F	85	61	60
Park	M	93	67	53
Kim	F	82	65	70
Park	F	86	100	65
Hong	M	84	81	58
Kim	F	75	34	68
Choi	M	67	25	60
Hong	M	87	32	75
Park	F	91	79	69
Choi	F	88	66	83
Park	F	79	53	78
Kim	F	47	70	79
Kim	F	92	49	87
Kim	M	69	47	62
Park	M	95	78	73
Kim	F	76	90	70
Kim	M	88	39	64
Park	F	82	45	87
Choi	M	93	81	74
Hong	F	71	59	94
Kim	F	81	59	79
Choi	F	70	69	54
Kim	F	57	84	62
Kim	M	87	65	61
Park	F	84	61	69
Choi	F	70	84	67
Park	F	82	30	71
Choi	M	97	35	73
Kim	F	83	74	78
Choi	F	75	41	73
Kim	F	90	49	73
Choi	F	76	66	63
Park	M	89	54	48
Hong	M	87	82	70
Park	M	73	78	71
Choi	M	62	63	82
Hong	M	75	56	77
Hong	M	77	73	79
Choi	F	71	52	64
Park	M	62	58	68
Choi	F	80	27	66
Park	F	85	51	59
Hong	M	77	76	72
Park	F	96	70	69
Kim	M	83	71	56
Hong	M	85	27	86
Kim	M	94	53	94
Choi	M	75	36	74
Kim	M	78	78	79
Choi	F	90	82	73
Hong	M	69	71	64
Park	F	81	47	64
Choi	F	76	55	70
Kim	F	84	62	78
Kim	F	73	96	86
Kim	F	98	56	71
Choi	M	91	68	69
Hong	M	73	79	84
Kim	F	88	61	64
Kim	F	78	94	66
Choi	M	77	79	58
Hong	F	89	78	88
Hong	M	89	76	60
Kim	F	79	68	72
Park	F	81	60	76
Park	F	69	70	71
Hong	F	92	68	75
Choi	M	100	69	70
Kim	M	88	100	64
Choi	F	80	73	80
Choi	M	91	64	58
Park	M	67	44	65
Hong	F	86	52	58
Park	F	93	51	65
Choi	M	83	41	76
Kim	M	78	63	59
Kim	F	79	42	58
Hong	F	70	50	73
Park	M	89	78	87
Choi	F	74	61	77
Choi	M	84	72	77
Hong	F	72	29	65
Hong	F	92	32	75
Hong	F	90	67	84
Choi	F	69	41	72
Park	F	72	72	79
Park	F	73	51	61
Hong	F	98	82	56
Park	F	70	31	59
Park	F	83	63	63
Kim	F	82	70	56
Choi	M	86	49	56
Park	M	83	100	75
Choi	M	80	64	70
Kim	M	65	48	66
Kim	F	71	52	83
Kim	M	85	10	61
Choi	M	70	77	68
Hong	F	58	41	70
Hong	F	80	72	61
Kim	M	82	78	79
Kim	F	90	45	66
Choi	F	74	100	49
Park	F	75	69	74
Park	M	74	80	72
Park	F	86	-12	74
Hong	F	86	48	71
Choi	F	90	73	67
Choi	F	78	52	81
Hong	M	72	87	50
Kim	M	89	53	74
Kim	M	81	47	74
Park	M	88	47	66
Park	F	93	70	58
Hong	F	95	34	69
Hong	M	80	56	59
Park	F	89	43	78
Park	F	85	54	52
Park	M	77	77	69
Choi	F	83	84	78
Kim	M	90	49	81
Park	M	69	41	71
Hong	M	86	8	87
Hong	F	88	49	69
Park	F	90	35	61
Park	M	92	61	66
Hong	F	90	94	69
Choi	F	95	40	82
Hong	M	70	30	55
Choi	F	77	69	70
Hong	M	94	43	49
Hong	F	74	100	65
Hong	F	62	84	62
Hong	M	71	28	75
Park	F	81	37	65
Kim	F	87	89	59
Kim	M	95	21	77
Choi	F	100	61	67
Kim	F	83	63	65
Park	F	82	60	53
Kim	F	93	51	77
Choi	F	86	75	74
Kim	M	86	49	73
Hong	F	75	69	86
